Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
mdp.39015077831363,allow,public domain,1476167,,University of Michigan,1476167,1905484,,,08007021 //r87,A statement in respect to the United States Naval observatory and its organization. Prepared by Lewis Boss ... 1891.,"C. Van Benthuysen & sons, 1891.",bibliographically-derived by automatic processes,2/28/2009 22:30,0,1891,New York (State),English,Book
uc1.$b528070,allow,public domain,1476167,,University of California,.b150022694,1905484,,,08007021 //r87,A statement in respect to the United States Naval observatory and its organization. Prepared by Lewis Boss ... 1891.,"C. Van Benthuysen & sons, 1891.",bibliographically-derived by automatic processes,11/2/2010 20:32,0,1891,New York (State),English,Book
uc2.ark:/13960/t8mc8t38j,allow,public domain,1476167,,University of California,.b150022694,1905484,,,08007021 //r87,A statement in respect to the United States Naval observatory and its organization. Prepared by Lewis Boss ... 1891.,"C. Van Benthuysen & sons, 1891.",bibliographically-derived by automatic processes,2/7/2011 19:30,0,1891,New York (State),English,Book
mdp.39015065198932,allow,public domain only when viewed in the US,1476171,,University of Michigan,1476171,4392382,,,15002747,"History and description of Mr. Tebbutt's observatory, Windsor, New South Wales, By John Tebbutt.","Joseph Cook & co., printers, 1887.",bibliographically-derived by automatic processes,8/16/2007 15:30,0,1887,Australia,English,Book
uc1.b5012347,allow,public domain,1476172,,University of California,b167694339,2323810,,,08007044 //r86,The Yerkes observatory of the University of Chicago [by] George E. Hale.,"The University of Chicago press, 1897.",bibliographically-derived by automatic processes,9/12/2011 19:30,0,1897,Illinois,English,Book
mdp.39015039411445,allow,public domain only when viewed in the US,1476182,v.1 1899,University of Michigan,1476182,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,4/1/2013 19:25,0,1899,West Berlin (Discontinued code),English,Book
mdp.39015039411452,allow,public domain only when viewed in the US,1476182,v.2 1899,University of Michigan,1476182,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,8/27/2012 19:30,0,1899,West Berlin (Discontinued code),English,Book
chi.12055586,allow,public domain only when viewed in the US,1476182,c.1 v.1,University of Chicago,2209092,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,7/25/2012 19:30,0,1899,West Berlin (Discontinued code),English,Book
chi.12055606,allow,public domain only when viewed in the US,1476182,c.1 v.2,University of Chicago,2209092,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,7/25/2012 19:30,0,1899,West Berlin (Discontinued code),English,Book
wu.89119126696,allow,public domain only when viewed in the US,1476182,v.1,University of Wisconsin,3869132,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,8/8/2012 19:30,0,1899,West Berlin (Discontinued code),English,Book
wu.89119126704,allow,public domain only when viewed in the US,1476182,v.2,University of Wisconsin,3869132,2354195,,,4000584,Handbuch der astronomischen insttumentenkunde.,"J. Springer, 1899.",bibliographically-derived by automatic processes,8/8/2012 19:30,0,1899,West Berlin (Discontinued code),English,Book
