Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
uc1.b4178829,allow,public domain,21984,,University of California,GLAD100725071-B,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bibliographically-derived by automatic processes,6/29/2009 22:30,1,1973,District of Columbia,English,Book
uiug.30112007325282,allow,public domain,21984,,University of Illinois,2593897,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bibliographically-derived by automatic processes,4/4/2012 19:33,1,1973,District of Columbia,English,Book
uiug.30112008646827,allow,public domain,28856,,University of Illinois,1259845,1273171,,,74600117,"Pioneer odyssey : encounter with a giant / by Richard O. Fimmel, William Swindell, and Eric Burgess, prepared at Ames Research Center.","Scientific and Technical Information Division, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,4/12/2012 4:30,1,1974,District of Columbia,English,Book
mdp.39015049076220,allow,public domain,33608,,University of Michigan,33608,1311052,,,73600151,Mars as viewed by Mariner 9 : a pictorial presentation by the Mariner 9 television team and the planetology program principal investigators.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,2/20/2010 22:30,1,1974,District of Columbia,English,Book
mdp.39015017189864,allow,public domain,36717,,University of Michigan,36717,3627556,,,77601893,The Viking mission to Mars / William R. Corliss.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1975 i.e. 1976.",bibliographically-derived by automatic processes,2/21/2010 21:30,1,1976,District of Columbia,English,Book
uiug.30112104078404,allow,public domain,39463,,University of Illinois,1231641,1160757,,,74600024,"Atlas of Surveyor 5 television data / by Raymond M. Batson, Raymond Jordan, and Kathleen B. Larson.","Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,4/12/2012 4:30,1,1974,District of Columbia,English,Book
mdp.39015019041519,deny,in-copyright,46353,ser.2 v.16-18 1951-1954,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1954,France,French,Serial
mdp.39015019041444,deny,in-copyright,46353,ser.2 v.19-21 1955-1957,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1957,France,French,Serial
mdp.39015019041196,deny,in-copyright,46353,ser.2 v.22-23 1958-1961,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1961,France,French,Serial
mdp.39015019041188,deny,in-copyright,46353,ser.2 v.24 1963-1965,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1965,France,French,Serial
mdp.39015019041170,deny,in-copyright,46353,ser.2 v.25 1965,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1965,France,French,Serial
mdp.39015019041162,deny,in-copyright,46353,ser.3 v.1 1966,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2010 20:30,0,1966,France,French,Serial
mdp.39015019041154,deny,in-copyright,46353,ser.3 v.2 1967,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2010 20:30,0,1967,France,French,Serial
mdp.39015019041113,deny,in-copyright,46353,ser.3 v.3 1968,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/21/2010 19:31,0,1968,France,French,Serial
mdp.39015035064289,allow,public domain only when viewed in the US,46353,v.17 1900,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1900,France,French,Serial
mdp.39015024258181,allow,public domain only when viewed in the US,46353,v.25 1908,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/2/2012 19:30,0,1908,France,French,Serial
mdp.39015036744574,allow,public domain only when viewed in the US,46353,v.32 1915,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/2/2012 19:30,0,1915,France,French,Serial
mdp.39015050938276,allow,public domain only when viewed in the US,46353,v.35 1918,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:32,0,1918,France,French,Serial
mdp.39015050938524,allow,public domain only when viewed in the US,46353,v.23 1906,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/23/2012 19:30,0,1906,France,French,Serial
mdp.39015058503411,allow,public domain only when viewed in the US,46353,v.8 1891,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1891,France,French,Serial
mdp.39015059829898,allow,public domain only when viewed in the US,46353,v.19 1902,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2013 19:25,0,1902,France,French,Serial
mdp.39015068001877,allow,public domain only when viewed in the US,46353,v.18 1901,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1901,France,French,Serial
mdp.39015068001885,allow,public domain only when viewed in the US,46353,v.20 1903,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/25/2011 19:30,0,1903,France,French,Serial
mdp.39015068131864,allow,public domain only when viewed in the US,46353,v.1 1884,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/8/2012 19:31,0,1884,France,French,Serial
mdp.39015068131690,allow,public domain only when viewed in the US,46353,v.2 1885,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1885,France,French,Serial
mdp.39015068131682,allow,public domain only when viewed in the US,46353,v.3 1886,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,7/17/2009 22:30,0,1886,France,French,Serial
mdp.39015068131849,allow,public domain only when viewed in the US,46353,v.4 1887,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,6/25/2009 23:30,0,1887,France,French,Serial
mdp.39015068131674,allow,public domain only when viewed in the US,46353,v.5 1888,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,7/31/2011 16:30,0,1888,France,French,Serial
mdp.39015068131831,allow,public domain only when viewed in the US,46353,v.6 1889,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1889,France,French,Serial
mdp.39015068131997,allow,public domain only when viewed in the US,46353,v.7 1890,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,12/25/2009 21:30,0,1890,France,French,Serial
mdp.39015068131666,allow,public domain only when viewed in the US,46353,v.9 1892,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1892,France,French,Serial
mdp.39015068131823,allow,public domain only when viewed in the US,46353,v.10 1893,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1893,France,French,Serial
mdp.39015068131989,allow,public domain only when viewed in the US,46353,v.11 1894,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1894,France,French,Serial
mdp.39015068131658,allow,public domain only when viewed in the US,46353,v.12 1895,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1895,France,French,Serial
mdp.39015068131815,allow,public domain only when viewed in the US,46353,v.13 1896,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1896,France,French,Serial
mdp.39015068131971,allow,public domain only when viewed in the US,46353,v.14 1897,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1897,France,French,Serial
mdp.39015068131641,allow,public domain only when viewed in the US,46353,v.15 1898,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/8/2012 19:31,0,1898,France,French,Serial
mdp.39015068131807,allow,public domain only when viewed in the US,46353,v.16 1899,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1899,France,French,Serial
mdp.39015073148242,allow,public domain only when viewed in the US,46353,v.21 1904,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,12/3/2012 19:32,0,1904,France,French,Serial
mdp.39015073148234,allow,public domain only when viewed in the US,46353,v.22 1905,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,11/4/2012 19:30,0,1905,France,French,Serial
mdp.39015073148226,allow,public domain only when viewed in the US,46353,v.24 1907,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,3/9/2009 22:30,0,1907,France,French,Serial
mdp.39015073148218,allow,public domain only when viewed in the US,46353,v.26 1909,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:34,0,1909,France,French,Serial
mdp.39015073148200,allow,public domain only when viewed in the US,46353,v.27 1910,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/28/2012 19:30,0,1910,France,French,Serial
mdp.39015073148192,allow,public domain only when viewed in the US,46353,v.28 1911,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/28/2012 19:30,0,1911,France,French,Serial
mdp.39015073148184,allow,public domain only when viewed in the US,46353,v.29 1912,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/1/2012 19:30,0,1912,France,French,Serial
mdp.39015073148176,allow,public domain only when viewed in the US,46353,v.30 1913,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/12/2012 19:31,0,1913,France,French,Serial
mdp.39015073148168,allow,public domain only when viewed in the US,46353,v.31 1914,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/28/2012 19:30,0,1914,France,French,Serial
mdp.39015073148150,allow,public domain only when viewed in the US,46353,v.33 1916,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:34,0,1916,France,French,Serial
mdp.39015073148143,allow,public domain only when viewed in the US,46353,v.34 1917,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/27/2012 19:30,0,1917,France,French,Serial
mdp.39015075930498,deny,in-copyright,46353,ser.2 v.5 1925,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,7/1/2009 0:30,0,1925,France,French,Serial
mdp.39015075930506,deny,in-copyright,46353,ser.2 v.6 1930,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,3/1/2009 22:30,0,1930,France,French,Serial
mdp.39015075930423,deny,in-copyright,46353,ser.2 v.9 1933,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,3/1/2009 22:30,0,1933,France,French,Serial
mdp.39015075930431,deny,in-copyright,46353,ser.2 v.10 1937,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,6/21/2009 22:30,0,1937,France,French,Serial
mdp.39015075930449,deny,in-copyright,46353,ser.2 v.11 1938,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,3/1/2009 22:30,0,1938,France,French,Serial
mdp.39015076081515,allow,public domain only when viewed in the US,46353,ser.2 v.1 1919,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:34,0,1919,France,French,Serial
mdp.39015076081523,allow,public domain only when viewed in the US,46353,ser.2 v.2 1920,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:34,0,1920,France,French,Serial
uc1.32106020673650,deny,in-copyright,46353,ser.2 v.13 1947-48,University of California,.b15091776,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/5/2010 20:34,0,1948,France,French,Serial
njp.32101045534847,deny,in-copyright,46353,"ser. 2, vol. 3, pt. 1 (1923)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1923,France,French,Serial
njp.32101045534854,allow,public domain only when viewed in the US,46353,"ser. 2, vol. 2 (1920)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1920,France,French,Serial
njp.32101045534862,allow,public domain only when viewed in the US,46353,"ser. 2, vol. 1, pt. 2 (1920)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1920,France,French,Serial
njp.32101045534870,allow,public domain only when viewed in the US,46353,"ser. 2, vol. 1, pt. 1 (1920)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1920,France,French,Serial
njp.32101045534888,allow,public domain only when viewed in the US,46353,vol. 35 (1918),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1918,France,French,Serial
njp.32101045534896,allow,public domain only when viewed in the US,46353,vol. 34 (1917),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1917,France,French,Serial
njp.32101045534904,allow,public domain only when viewed in the US,46353,vol. 33 (1916),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/26/2010 20:31,0,1916,France,French,Serial
njp.32101045534912,allow,public domain only when viewed in the US,46353,vol. 32 (1915),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1915,France,French,Serial
njp.32101045534920,allow,public domain only when viewed in the US,46353,vol. 31 (1914),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1914,France,French,Serial
njp.32101045534938,allow,public domain only when viewed in the US,46353,vol. 30 (1913),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1913,France,French,Serial
njp.32101045535026,deny,in-copyright,46353,"ser.2, vol.4, pt.1 (1923)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1923,France,French,Serial
njp.32101045535034,allow,public domain only when viewed in the US,46353,"ser. 2, vol. 3-4 (1921-1922)",Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1922,France,French,Serial
njp.32101045535042,allow,public domain only when viewed in the US,46353,vol. 5 (1888),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1888,France,French,Serial
njp.32101045535059,allow,public domain only when viewed in the US,46353,vol. 4 (1887),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1887,France,French,Serial
njp.32101045535067,allow,public domain only when viewed in the US,46353,vol. 3 (1886),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1886,France,French,Serial
njp.32101045535075,allow,public domain only when viewed in the US,46353,vol. 2 (1885),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1885,France,French,Serial
njp.32101045535083,allow,public domain only when viewed in the US,46353,vol. 1 (1884),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1884,France,French,Serial
njp.32101045535141,allow,public domain only when viewed in the US,46353,vol. 15 (1898),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1898,France,French,Serial
njp.32101045535158,allow,public domain only when viewed in the US,46353,vol. 14 (1897),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1897,France,French,Serial
njp.32101045535166,allow,public domain only when viewed in the US,46353,vol. 13 (1896),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1896,France,French,Serial
njp.32101045535174,allow,public domain only when viewed in the US,46353,vol. 12 (1895),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1895,France,French,Serial
njp.32101045535182,allow,public domain only when viewed in the US,46353,vol. 11 (1894),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1894,France,French,Serial
njp.32101045535190,allow,public domain only when viewed in the US,46353,vol. 10 (1893),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1893,France,French,Serial
njp.32101045535208,allow,public domain only when viewed in the US,46353,vol. 9 (1892),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1892,France,French,Serial
njp.32101045535216,allow,public domain only when viewed in the US,46353,vol. 8 (1891),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/26/2010 20:30,0,1891,France,French,Serial
njp.32101045535224,allow,public domain only when viewed in the US,46353,vol. 7 (1890),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1890,France,French,Serial
njp.32101045535232,allow,public domain only when viewed in the US,46353,vol. 6 (1889),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1889,France,French,Serial
njp.32101045535265,allow,public domain only when viewed in the US,46353,vol. 23 (1906),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1906,France,French,Serial
njp.32101045535273,allow,public domain only when viewed in the US,46353,vol. 22 (1905),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1905,France,French,Serial
njp.32101045535281,allow,public domain only when viewed in the US,46353,vol. 21 (1904),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1904,France,French,Serial
njp.32101045535299,allow,public domain only when viewed in the US,46353,vol. 20 (1903),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1903,France,French,Serial
njp.32101045535307,allow,public domain only when viewed in the US,46353,vol. 19 (1902),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1902,France,French,Serial
njp.32101045535315,allow,public domain only when viewed in the US,46353,vol. 18 (1901),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1901,France,French,Serial
njp.32101045535323,allow,public domain only when viewed in the US,46353,vol. 17 (1900),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1900,France,French,Serial
njp.32101045535331,allow,public domain only when viewed in the US,46353,vol. 16 (1899),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1899,France,French,Serial
njp.32101045535646,allow,public domain only when viewed in the US,46353,vol. 29 (1912),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:31,0,1912,France,French,Serial
njp.32101045535653,allow,public domain only when viewed in the US,46353,vol. 28 (1911),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1911,France,French,Serial
njp.32101045535661,allow,public domain only when viewed in the US,46353,vol. 27 (1910),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/26/2010 19:30,0,1910,France,French,Serial
njp.32101045535679,allow,public domain only when viewed in the US,46353,vol. 26 (1909),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 20:30,0,1909,France,French,Serial
njp.32101045535687,allow,public domain only when viewed in the US,46353,vol. 25 (1908),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/27/2012 19:30,0,1908,France,French,Serial
njp.32101045535695,allow,public domain only when viewed in the US,46353,vol. 24 (1907),Princeton University,1928236,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/25/2010 19:30,0,1907,France,French,Serial
uc1.31822020237384,deny,undetermined copyright status,46353,ser.3 v.1,University of California,.b27162941,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,2/11/2011 20:31,0,1968,France,French,Serial
uva.x002080832,allow,public domain only when viewed in the US,46353,v.1 1884,University of Virginia,u486365,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/12/2011 20:30,0,1884,France,French,Serial
uva.x002080854,allow,public domain only when viewed in the US,46353,v.13 1896,University of Virginia,u486365,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2011 20:32,0,1896,France,French,Serial
uva.x002080856,allow,public domain only when viewed in the US,46353,v.14 1897,University of Virginia,u486365,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/27/2012 19:31,0,1897,France,French,Serial
uva.x002080876,allow,public domain only when viewed in the US,46353,v.24 1907,University of Virginia,u486365,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,10/27/2012 19:31,0,1907,France,French,Serial
