ucm.5316965621,0
ucm.5316965630,0
ucm.5316965659,0
ucm.5316965677,0
ucm.5316965686,0
ucm.5316965695,0
ucm.5316965701,0
ucm.5316965710,0
ucm.5316965739,0
ucm.5316965748,0
ucm.5316965757,0
uc1.$b784051,0
uc1.$b754066,0
uc1.$b750011,0
uc1.$b739566,0
uc1.$b703707,0
uc1.$b703753,0
uc1.$b700755,0
uc1.$b696719,0
uc1.$b696759,0
uc1.$b676218,0
uc1.$b674107,0
uc1.$b674153,0
uc1.$b675338,0
uc1.$b675742,0
uc1.$b675926,0
uc1.$b670317,0
uc1.b3271769,0
uc1.b4486107,0
uc1.b4585842,0
uc1.b3687213,0
uc1.b3687320,0
uc1.b3687740,0
uc1.b3687743,0
uc1.b3687980,0
uc1.b3687997,0
uc1.b3727291,0
uc1.b3727781,0
uc1.b3821286,0
uc1.b3835558,0
uc1.b3358719,0
ucm.5316986078,1
ucm.5316986087,1
uc1.$b809907,25
uc1.$b781377,25
uc1.$b770906,25
uc1.$b740209,25
uc1.$b726008,25
uc1.$b697526,25
uc1.$b689860,25
uc1.$b675580,25
uc1.$b670040,25
uc1.$b659440,25
uc1.b3376154,25
uc1.b3376424,25
uc1.b3215238,25
uc1.b3302622,25
uc1.b3820667,25
uc1.b3296406,25
uc1.b3306781,25
wu.89073658569,381
mdp.39015010377565,   
mdp.39015009633630,   
mdp.39015010376864,   
mdp.39015009690200,   
mdp.39015009735013,   
mdp.39015009690044,   
mdp.39015009646020,   
mdp.39015009642045,   
mdp.39015009622971,   
mdp.39015009623136,   
mdp.39015018087505,   
mdp.39015033726343,   
uc1.32106009580991,   
uc1.32106019706792,   
uc1.32106019706800,   
uc1.32106019706818,   
uc1.32106019706826,   
uc1.32106019706834,   
uc1.32106019706842,   
uc1.32106019706859,   
mdp.39015009690937,   
mdp.39015031169983,   
mdp.39015009690192,   
mdp.39015010376740,   
mdp.39015010376781,   
mdp.39015013617652,   
mdp.39015010376773,   
mdp.39015010376765,   
mdp.39015010376757,   
mdp.39015010376385,   
mdp.39015010376476,   
mdp.39015039148344,   
mdp.39015010376468,   
mdp.39015010376450,   
mdp.39015010376393,   
mdp.39015010376419,   
mdp.39015010376427,   
mdp.39015010376435,   
mdp.39015010376906,   
mdp.39015010376336,   
mdp.39015010376344,   
mdp.39015010376021,   
mdp.39015010376054,   
uc1.32106009847424,   
mdp.39015010376062,   
mdp.39015023348363,   
mdp.39015031167946,   
mdp.39015009715585,   
mdp.39015020309947,   
uc1.32106007131508,   
mdp.39015010373176,   
mdp.39015009715452,   
mdp.39015009715155,   
mdp.39015009779342,   
mdp.39015025456081,   
mdp.39015009689111,   
mdp.39015009747489,   
mdp.39015007611588,   
mdp.39015010376237,   
mdp.39015010376203,   
mdp.39015010376211,   
mdp.39015010376195,   
mdp.39015010376245,   
mdp.39015010376278,   
mdp.39015009742829,   
mdp.39015010376260,   
mdp.39015010376252,   
mdp.39015010376286,   
mdp.39015010376179,   
mdp.39015007611489,   
mdp.39015010375700,   
mdp.39015010375718,   
mdp.39015010375684,   
mdp.39015010375692,   
mdp.39015040468020,   
mdp.39015010375734,   
mdp.39015040468012,   
mdp.39015025441661,   
mdp.39015057537055,   
mdp.39015010375858,   
mdp.39015010375841,   
mdp.39015010375833,   
uc1.32106001335394,   
mdp.39015010374604,   
mdp.39015010373200,   
mdp.39015010374620,   
mdp.39015009694418,   
mdp.39015010370891,   
mdp.39015010373457,   
mdp.39015025402036,   
mdp.39015009698344,   
mdp.39015009698351,   
mdp.39015010374950,   
mdp.39015010374232,   
uc1.32106007103630,   
mdp.39015010373556,   
mdp.39015010373531,   
uc1.32106007050286,   
mdp.39015010372970,   
uc1.32106007050492,   
mdp.39015010373549,   
uc1.32106007050385,   
mdp.39015010373101,   
uc1.32106007050278,   
mdp.39015010372640,   
mdp.39015010373093,   
uc1.32106007050260,   
mdp.39015010373119,   
uc1.32106007050252,   
mdp.39015010372632,   
uc1.32106007104000,   
mdp.39015010372624,   
uc1.32106007103994,   
mdp.39015010373085,   
mdp.39015010372962,   
uc1.32106007103853,   
mdp.39015010372681,   
uc1.32106007103960,   
mdp.39015010372665,   
mdp.39015010372673,   
uc1.32106007103754,   
mdp.39015010372657,   
uc1.32106007103978,   
mdp.39015009697312,   
uc1.32106007103762,   
mdp.39015009697239,   
uc1.32106007103879,   
mdp.39015010374398,   
uc1.32106007103747,   
mdp.39015009652499,   
mdp.39015010373630,   
mdp.39015010372392,   
mdp.39015056401303,   
mdp.39015010374265,   
mdp.39015009714166,   
mdp.39015009689319,   
mdp.39015064179909,   
mdp.39015025415228,   
mdp.39015010374141,   
mdp.39015009714133,   
mdp.39015079347244,   
mdp.39015009728935,   
mdp.39015009728174,   
mdp.39015009728182,   
mdp.39015009649248,   
mdp.39015009723142,   
mdp.39015009697593,   
mdp.39015009697411,   
mdp.39015013626513,   
mdp.39015013626521,   
mdp.39015009697395,   
mdp.39015009697296,   
mdp.39015009697379,   
mdp.39015009697353,   
mdp.39015010377383,   
mdp.39015010375130,   
mdp.39015010375254,   
mdp.39076001707962,   
mdp.39076007049286,   
mdp.39015010375296,   
mdp.39015010375114,   
mdp.39015010375106,   
mdp.39015010375205,   
mdp.39015010375213,   
mdp.39015010375221,   
mdp.39015010375239,   
mdp.39015010375262,   
mdp.39015009717078,   
mdp.39015010375163,   
mdp.39015010375171,   
mdp.39015009727747,   
mdp.39015009716898,   
mdp.39015009717052,   
mdp.39015009717375,   
mdp.39015009643829,   
mdp.39015009717201,   
mdp.39015009716880,   
mdp.39015009716906,   
mdp.39015010375288,   
mdp.39015009643647,   
mdp.39015009643746,   
mdp.39015031173738,   
mdp.39015010372384,   
mdp.39015010372897,   
mdp.39015010372889,   
mdp.39015010373002,   
mdp.39015010373036,   
mdp.39015010373572,   
mdp.39015010373721,   
mdp.39015022316452,   
mdp.39015010374927,   
mdp.39015010374935,   
mdp.39015010374943,   
mdp.39015009717037,   
mdp.39015010372574,   
mdp.39015010372582,   
mdp.39015010371378,   
mdp.39015009643373,   
mdp.39015009722326,   
mdp.39015009643381,   
mdp.39015010372616,   
mdp.39015010372590,   
mdp.39015010371550,   
mdp.39015020898188,   
mdp.39015009700132,   
mdp.39015009700124,   
mdp.39015009700116,   
mdp.39015009643449,   
mdp.39015009643456,   
mdp.39015009687701,   
mdp.39015010373077,   
mdp.39015031157301,   
mdp.39015008949540,   
mdp.39015008949532,   
