Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
mdp.39015064485751,allow,pd,001476759,,MiU,001476759,16899362,,,03012350,"Tangentialliters and tangentiallites. The planets are not projectiles, but tangentiallites. The ocean's tides are the result of tangential and radial forces. A modern discussion.","A. P. Pichereau, 1894.",bib,2013-04-02 19:25:06,0,1894,ilu,eng,BK
mdp.39015069409459,allow,pd,001476764,,MiU,001476764,12747369,,,06011059,Theoretical astronomy. Dynamics of the sun.,"Woodbridge school, 1891.",bib,2012-04-07 19:31:04,0,1891,nyu,eng,BK
mdp.39015043495186,allow,pdus,001476771,,MiU,001476771,4073933,,,06007708,The transit of Venus.,"Macmillan and co., 1874.",bib,2013-04-01 19:25:06,0,1874,xx ,eng,BK
uc1.b250611,allow,pdus,001476771,,UC,"GLAD33774520-B,b167197186",4073933,,,06007708,The transit of Venus.,"Macmillan and co., 1874.",bib,2013-05-12 19:25:09,0,1874,xx ,eng,BK
uc2.ark:/13960/t0wp9v58m,allow,pdus,001476771,,UC,.b129769095,4073933,,,06007708,The transit of Venus.,"Macmillan and co., 1874.",bib,2011-02-04 19:30:11,0,1874,xx ,eng,BK
mdp.39015006989027,allow,pd,001476773,,MiU,001476773,23647081,,,06040938,"Collectio omnivm observationvm qvae occasione transitvs Veneris per solem a. MDCCLXIX,","typis Academiae scientiarv, 1770.",bib,2010-07-02 20:30:02,0,1770,rur,lat,BK
mdp.39015043559924,allow,pdus,001476774,,MiU,001476774,2057726,,,06012329,"Account of observations of the transit of Venus, 1874, December 8, made under the authority of the British government : and of the reduction of the observations / edited by Sir George Biddell Airy.","Printed for H.M. Stationery Off., under the authority of the Lords Commissioners of Her Majesty's Treasury, 1881.",bib,2010-06-30 19:30:31,0,1881,enk,eng,BK
uc2.ark:/13960/t9f47jt54,allow,pdus,001476774,,UC,.b132314149,2057726,,,06012329,"Account of observations of the transit of Venus, 1874, December 8, made under the authority of the British government : and of the reduction of the observations / edited by Sir George Biddell Airy.","Printed for H.M. Stationery Off., under the authority of the Lords Commissioners of Her Majesty's Treasury, 1881.",bib,2011-02-05 19:30:26,0,1881,enk,eng,BK
mdp.39015043495160,allow,pdus,001476775,,MiU,001476775,12892606,,,05037926,"Observations of the transit of Venus, 9 December, 1874 ; made at the stations in New South Wales / under the direction of H.c. Russell.","C. Potter, 1892.",bib,2012-08-28 19:30:05,0,1892,at ,eng,BK
uc2.ark:/13960/t3028r197,allow,pdus,001476775,,UC,.b149483089,12892606,,,05037926,"Observations of the transit of Venus, 9 December, 1874 ; made at the stations in New South Wales / under the direction of H.c. Russell.","C. Potter, 1892.",bib,2011-02-09 19:30:14,0,1892,at ,eng,BK
mdp.39015068184855,allow,pdus,001476776,,MiU,001476776,3988667,,,06012322,Expédition danoise pour l'observation du passage de Vénus 1882.,"Impr. de J. H. Schultz, 1883.",bib,2012-06-26 19:30:22,0,1883,dk ,fre,BK
njp.32101041544469,allow,pdus,001476777,,NJP,2115312,6513090,,,08022297//rev,"Observations of the planet Eros, 1900-1901 for determination of the solar parallax, from photographs taken and measured at the Royal Observatory, Greenwich. UUnder the direction of Sir William Henry Mahoney Christie. (Forming an Appendix to the volume of Greenwich observation for the year 1905)","Printed for H.M. Stationery off. by Neill, 1908.",bib,2010-10-27 20:31:42,0,1908,stk,eng,BK
mdp.39015080401204,allow,pdus,001476778,,MiU,001476778,18496483,,,05012414 //r88,Observations méridiennes de la planète Mars pendant l'opposition de 1892.,"Imprimerie nationale, 1895.",bib,2010-06-30 19:30:46,0,1895,po ,fre,BK
mdp.39015069409475,allow,pdus,001476781,,MiU,001476781,4826599,,,05005481 //r882,"The story of the sun, by Sir Robert Ball ... With eleven full-page plates and numerous illustrations.","Cassell & company, limited, 1893.",bib,2008-07-06 00:30:02,0,1893,enk,eng,BK
uc1.b4371816,allow,pd,001476789,,UC,GLAD100725191-B,730624,,,72600092 //r85,The quiet sun [by] Edward G. Gibson.,"National Aeronautics and Space Administration, Scientific and Technical Information Office; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bib,2013-05-03 19:25:27,1,1973,dcu,eng,BK
